id;long_name;description;oktmo;okato;long_name_eng;type;region;latitude;longitude
57082;Павлюково;Тверская область;28630414156;28230814006;Pavlyukovo;municipality;28;56.55389;36.538887
57083;Шетаково;Тверская область;28630414161;28230814007;Shestakovo;municipality;28;56.558613;36.55
57084;Шорново;Тверская область;28630414166;28230814008;Shornovo;municipality;28;56.55111;36.51472
80415;Катайск Катайского района Курганской области;Курганская область;37612101;37212501000;the city of Kataysk, Kataysky district, Kurgan region;municipality;37;56.29081;62.58004
80971;Петухово Петуховского района Курганской области;Курганская область;37626101;37226501000;the city of Petukhovo, Petukhovsky district, Kurgan region;municipality;37;55.06501;67.88734
84392;Суджа Суджанского района Курской области;Курская область;38640101;38240501000;the city of Sudzha, Sudzhansky district, Kursk region;municipality;38;51.19189;35.27209
84599;Фатеж Фатежского района Курской области;Курская область;38644101;38244501000;the city of Fatezh, Fatezhsky district, Kursk region;municipality;38;52.09177;35.85387
97678;Оленегорск;Мурманская область;47717000;47417000;Olenegorsk city;municipality;47;68.14221;33.26694
97685;Полярные Зори;Мурманская область;47719000;47419000;the city of Polyarnye Zori;municipality;47;67.37308;32.49756
102262;Карасук Карасукского муниципального района Новосибирской области;Новосибирская область;50617101;50217501000;the city of Karasuk of the Karasuksky municipal district of the Novosibirsk region;municipality;50;53.73432;78.0423
102347;Каргат Каргатского муниципального района Новосибирской области;Новосибирская область;50619101;50219501000;the city of Kargat, Kargatsky municipal district of the Novosibirsk region;municipality;50;55.19457;80.28295
102723;Куйбышев Куйбышевского муниципального района Новосибирской области;Новосибирская область;50630101;50415000000;the city of Kuibyshev of the Kuibyshevsky municipal district of the Novosibirsk region;municipality;50;55.46851;78.3242
103488;Татарск Татарского муниципального района Новосибирской области;Новосибирская область;50650101;50418000000;the city of Tatarsk of the Tatar municipal district of the Novosibirsk region;municipality;50;55.21462;75.97399
103598;Тогучин Тогучинского муниципального района Новосибирской области;Новосибирская область;50652101;50252501000;Toguchin city, Toguchinsky municipal district, Novosibirsk region;municipality;50;55.22516;84.41041
103991;Черепаново Черепановского муниципального района Новосибирской области;Новосибирская область;50657101;50257501000;the city of Cherepanovo, Cherepanovsky municipal district of the Novosibirsk region;municipality;50;54.22065;83.37245
104152;Чулым Чулымского муниципального района Новосибирской области;Новосибирская область;50659101;50259501000;Chulym city of Chulym municipal district of Novosibirsk region;municipality;50;55.09069;80.95925
112916;Спасск Спасского района Пензенской области;Пензенская область;56606101;56206501000;the city of Spassk, Spassky district, Penza region;municipality;56;53.9272;43.18591
113261;Сурск Городищенского района Пензенской области;Пензенская область;56618108;56218508000;the city of Sursk of the Gorodishchensky district of the Penza region;municipality;56;53.07614;45.69108
113497;каменка Каменского района Пензенской области;Пензенская область;56629101;56229501000;the city of Kamenka, Kamensky District, Penza Region;municipality;56;53.18555;44.04697
114231;Нижний Ломов Нижнеломовского района Пензенской области;Пензенская область;56651101;56251501000;the city of Nizhniy Lomov, Nizhnelomovskiy district of the Penza region;municipality;56;53.53009;43.67302
114611;Сердобск Сердобского района Пензенской области;Пензенская область;56656101;56256501000;the city of Serdobsk, Serdobsky district of the Penza region;municipality;56;52.46976;44.21224
118742;Кудымкар;Пермский край;57851000;57421000;Kudymkar city;municipality;57;;
130644;Донецк;Ростовская область;60717000;60417000;Donetsk city;municipality;60;48.33507;39.94589
134043;Скопин;Рязанская область;61715000;61415000;Skopin town;municipality;61;53.82354;39.54924
153286;Тарко-Сале;Ямало-Ненецкий автономный округ;71920105;71160605000;the city of Tarko-Sale;municipality;719;;
165858;Баймак муниципального района Баймакский район Республики Башкортостан городское поселение;Республика Башкортостан;80606101;80404000000;Baymak city of municipal district Baymaksky district of the Republic of Bashkortostan urban settlement;municipality;80;;
166242;Белебей муниципального района Белебеевский район Республики Башкортостан городское поселение;Республика Башкортостан;80609101;80405000000;Belebey city of the municipal district Belebeevsky district of the Republic of Bashkortostan urban settlement;municipality;80;;
166700;Бирск муниципального района Бирский район Республики Башкортостан городское поселение;Республика Башкортостан;80613101;80415000000;the city of Birsk of the municipal district Birsky district of the Republic of Bashkortostan urban settlement;municipality;80;;
166930;Благовещенск муниципального района Благовещенский район Республики Башкортостан городское поселение;Республика Башкортостан;80615101;80417000000;the city of Blagoveshchensk of the municipal district Blagoveshchensk district of the Republic of Bashkortostan urban settlement;municipality;80;;
167484;Давлеканово муниципального района Давлекановский район Республики Башкортостан городское поселение;Республика Башкортостан;80622101;80419000000;city ​​of Davlekanovo of the municipal district Davlekanovo district of the Republic of Bashkortostan urban settlement;municipality;80;;
167688;Дюртюли муниципального района Дюртюлинский район Республики Башкортостан городское поселение;Республика Башкортостан;80624101;80418000000;the city of Dyurtyuli of the municipal district Dyurtyulinsky district of the Republic of Bashkortostan urban settlement;municipality;80;;
170386;Туймазы муниципального района Туймазинский район Республики Башкортостан городское поселение;Республика Башкортостан;80651101;80450000000;Tuymazy city of the municipal district Tuimazinsky district of the Republic of Bashkortostan urban settlement;municipality;80;;
170670;Учалы муниципального района Учалинский район Республики Башкортостан городское поселение;Республика Башкортостан;80653101;80455000000;Uchaly city of the municipal district Uchalinsky district of the Republic of Bashkortostan urban settlement;municipality;80;;
171360;Янаул муниципального района Янаульский район Республики Башкортостан городское поселение;Республика Башкортостан;80659101;80460000000;Yanaul city of the municipal district Yanaul district of the Republic of Bashkortostan urban settlement;municipality;80;;
175943;Кизляр;Республика Дагестан;82730000;82430000;Kizlyar city;municipality;82;43.84841;46.72337
175951;Южно-Сухокумск;Республика Дагестан;82738000;82438000;the city of Yuzhno-Sukhokumsk;municipality;82;44.66025;45.64995
184288;Азнакаево;Республика Татарстан (Татарстан);92602101;92403000000;Aznakaevo city;municipality;92;54.92472;53.09139
185733;Буинск;Республика Татарстан (Татарстан);92618101;92412000000;Buinsk city;municipality;92;;
187115;Лаишево;Республика Татарстан (Татарстан);92634101;92234501000;Laishevo town;municipality;92;;
187235;Лениногорск;Республика Татарстан (Татарстан);92636101;92425000000;Leninogorsk city;municipality;92;54.59667;52.443333
187546;Менделеевск;Республика Татарстан (Татарстан);92639101;92239501000;the city of Mendeleevsk;municipality;92;;
189671;Ак-Довурак;Республика Тыва;93703000;93403000;Ak-Dovurak city;municipality;93;51.17845;90.59851
97522;Титовка;;47515000161;;;ж/д ст;;;
97523;Луостари;;47515000166;;;ж/д ст;;;
97540;Магнетиты;;47605158121;47205000025;;ж/д ст;;;
97567;Кица;;47605404126;47205000023;;ж/д ст;;;
97595;Проливы;;47608101136;47202000021;;ж/д ст;;;
97596;Ручьи;;47608101141;47202000022;;ж/д ст;;;
