id,oktmo,indicator,okved,scenario,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100,Y2101,Y2102,Y2103,Y2104,Y2105,Y2106,Y2107,Y2108,Y2109,Y2110,Y2111,Y2112,Y2113,Y2114,Y2115,Y2116,Y2117,Y2118,Y2119,Y2120,Y2121
266021,05701000,C1049,39,dyn_low,,,,,,,,,,,,,,,618.8297,497.8037,380.81866,273.88144,180.59088,103.364975,42.671165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266022,05701000,C1049,39,dyn_use,,567.7632,519.0768,475.45984,437.22562,404.95703,380.5697,367.03635,367.2042,383.4523,417.3088,468.8198,537.07294,619.99786,714.9368,561.31573,420.93237,297.8204,193.72736,109.62634,44.811447,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266023,05701000,C1049,41.1,dyn_high,,,,,,,,,,,,,,,14.932093,19.146986,23.771997,28.636862,33.595306,38.474953,43.16147,47.541634,52.13414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266024,05701000,C1049,41.1,dyn_low,,,,,,,,,,,,,,,11.18736,15.059213,19.457071,24.218191,29.19365,34.20543,39.13698,43.886997,47.83361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266025,05701000,C1049,41.1,dyn_use,,10.264167,9.384002,8.595483,7.9042754,7.3209157,6.8800354,6.635376,6.6384106,6.9321475,7.5442142,8.475443,9.709341,11.208479,12.924809,16.980534,21.50659,26.335014,31.317242,36.277435,41.09999,45.67778,49.937603,51.926094,55.654743,59.174118,62.467262,65.51906,68.32985,70.903244,73.24608,75.3735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266026,05701000,C1049,41.2,dyn_high,,,,,,,,,,,,,,,32674.81,34655.516,36448.543,38023.395,39364.242,40455.414,41300.895,41903.35,42765.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266027,05701000,C1049,41.2,dyn_low,,,,,,,,,,,,,,,24480.486,27256.76,29832.66,32156.38,34206.74,35966.12,37449.89,38682.14,39237.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266028,05701000,C1049,41.2,dyn_use,,22460.33,20534.328,18808.871,17296.35,16019.827,15055.081,14519.711,14526.351,15169.114,16508.455,18546.195,21246.244,24526.697,28282.42,30734.297,32975.098,34967.055,36694.992,38144.78,39328.285,40260.543,40963.777,42594.934,45653.543,48540.484,51241.848,53745.234,56050.92,58161.875,60083.703,61828.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266029,05701000,C1049,42,dyn_high,,,,,,,,,,,,,,,7506.4697,7221.31,6905.15,6568.0703,6217.8975,5864.4956,5513.872,5171.483,4897.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266030,05701000,C1049,42,dyn_low,,,,,,,,,,,,,,,5623.9663,5679.6016,5651.776,5554.616,5403.2285,5213.7188,4999.744,4773.9385,4493.6084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
